,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
180,MC 14,48.68096608002547,14.733536385482818,7.9821117893343425,0.0,21.235282555002577,0.0,0.0,0.0,99.49781958762766,0.5174739804263752,17.0
181,MC 15,45.69363962902086,15.905435375945459,6.7718112770133425,0.0,10.315297269508626,15.062913731268635,0.0,0.0,101.32420615136378,0.5895529550528514,19.51
182,MC 16,36.483342828896646,15.75581152172119,4.534039633638649,0.0,9.958305557077034,29.083233104538493,0.0,0.0,97.64989137678415,0.6426324193494064,20.12
183,MC 17,38.7647168191532,15.163998680091687,5.53021408885346,0.0,20.481905365090334,14.954352041715822,0.0,0.0,95.80742567973864,0.5707749789142433,17.83
184,MC 18,29.856646545706255,15.04089719234986,3.3506864136010868,0.0,19.778000947217183,28.880827596263067,0.0,0.0,92.70550440982637,0.622048542512165,18.05
185,MC 19,45.50986804425009,28.251940676900887,5.734882151180296,0.0,0.0,15.209571757348455,0.0,0.0,104.8172011791835,0.4844795418490279,33.24
186,MC 20,35.21906729882022,29.272250266999873,3.1940660038296897,0.0,0.0,29.366247811430515,0.0,0.0,100.39024162047775,0.5308618636011343,32.47
187,MC 21,52.20964959479678,30.31045429219045,7.454976582897805,3.1434026843631364,0.0,0.0,0.0,0.0,106.57081451590791,0.36668442767835646,30.97
188,MC 22,48.188744931822846,32.904368424272974,6.554107798947009,6.3028331843907015,0.0,0.0,0.0,0.0,103.43749447918692,0.3128956104321125,29.14
189,MC 23,41.627377249585436,30.740922531529918,4.864487573168529,3.0300619969594327,0.0,15.246854427370355,0.0,0.0,101.89421120451412,0.430529440611055,30.92
190,MC 24,37.72580566594722,33.24213667209056,3.9898153764462196,6.075015458341713,0.0,15.28432032583932,0.0,0.0,99.11660714083743,0.37926275077189114,29.98
191,MC 25,31.781670169108935,31.141428590505303,2.454306172334558,2.924610240278677,0.0,29.432471437925244,0.0,0.0,97.89724306943555,0.48509607055248155,31.05
192,MC 26,27.9928527564178,33.55633924622427,1.604430470709161,5.863092293803941,0.0,29.502272490651762,0.0,0.0,95.40915200634043,0.4362078122713622,30.57
193,MC 27,51.05445836434646,25.438022519019064,6.270799706734239,0.0,0.0,11.448288911376315,0.0,0.0,110.87217659113779,0.5747472861786314,30.67
194,MC 28,46.27957418548048,23.315615295033343,4.343993650816079,0.0,0.0,22.0509765756091,0.0,0.0,111.80480705363193,0.7172407464168085,26.96
195,MC 29,47.986196430395744,27.121270519638575,5.948813877605278,0.0,0.0,13.452506362263222,0.0,0.0,107.51668634593051,0.5233766626129686,31.87
196,MC 30,40.27447350141555,26.028725903816866,3.8245620266855953,0.0,0.0,26.34187362037222,0.0,0.0,104.99226193584687,0.6115319079906063,29.84
197,MC 31,48.521700862667544,27.4338007977258,6.926618110541282,0.0,10.724078896258039,0.0,0.0,0.0,102.94780866048393,0.40797251970234893,28.48
198,MC 32,40.94664206807364,27.142266673260764,5.522973142727809,0.0,21.289989061112113,0.0,0.0,0.0,96.92132907185601,0.3944482958673646,25.34
199,MC 33,38.17263026194557,27.962867833761816,4.37984442211724,0.0,10.341113006298976,15.100611163152795,0.0,0.0,98.7322339736638,0.466138169326526,28.99
200,MC 34,28.537222225684097,28.455450884686872,2.0086939477675543,0.0,9.984556098331979,29.159897814820987,0.0,0.0,95.10631739491564,0.5161678352568542,29.02
